ID,SMILES
CP00132,CSCC[C@@H]1NC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@H](Cc2ccccc2)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCC(N)=O)NC1=O
CP00133,CC(=O)N[C@H]1CSSC(C)(C)[C@@H](C(N)=O)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCN=C(N)N)N(C)C1=O
CP00134,CC[C@H](C)C1C(=O)N(C)[C@@H]([C@@H](C)CC)C(=O)NCC(=O)N(C)[C@@H](C(C)C)C(=O)N[C@@H](Cc2ccc(OC)cc2)C(=O)O[C@@H](C)C(=O)N2CCCC[C@H]2C(=O)N(C)[C@@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(=O)OC(C)(C)C)C(=O)N1C
CP00135,CN1C(=O)c2ccccc2SSc2ccccc2NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@@H]1CCCN=C(N)N
CP00136,CCCCCCCC1CC(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CO)C(=O)NC([C@@H](C)O)C(=O)N[C@H](Cc2ccccc2)C(=O)N[C@@H]([C@@H](C)CC)C(=O)O1
CP00137,NC(N)=NCCC[C@@H]1NC(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)C[S@@](=O)C[C@@H](C(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)CNC1=O
CP00138,CC(O)C1NC(=O)C(CCCCN)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc2ccccc2)NC(=O)CC2(CCCCC2)SSCC(C(=O)NC(C)(CO)CO)NC1=O
CP00139,CC(O)C1NC(=O)C(CCCCN)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc2ccccc2)NC(=O)CC2(CCCCC2)SSCC(C(=O)NCCO)NC1=O
CP00140,CC[C@H](C)C1NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(=O)CNC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)CNC(=O)[C@H](CC(C)C)NC1=O
CP00141,CC(C)C[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSC[C@H](N)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O
CP00143,CC[C@H](C)C1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](N)CSSC[C@@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC(C)C)C(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O
CP00144,C[C@@H]1NC(=O)[C@H](C)NC1=O
CP00146,CC[C@H](C)C1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](N)CSSC[C@@H](C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O
